     ?column?     | prov_cd |  substr  | count |       sum       |      sum       |       sum       |      sum      
 imsVo25020230204 |     250 | 20230204 | 24271 | 53011329.000000 | 53010186.000000 |  591.000000 |   552.000000
 imsVo23020230204 |     230 | 20230204 |  2403 | 31192669.000000 | 31192612.000000 |   42.000000 |    15.000000
 imsVo47120230202 |     471 | 20230202 |  8506 | 17104121.000000 | 17103303.000000 |  175.000000 |   643.000000
 imsVo47120230203 |     471 | 20230203 |  8634 | 17367160.000000 | 17366279.000000 |  172.000000 |   709.000000
 imsVo29020230208 |     290 | 20230208 | 14826 | 31642982.000000 | 31639815.000000 |  309.000000 |  2858.000000
 imsVo89820230209 |     898 | 20230209 |  4642 |  9148285.000000 |  9148185.000000 |   98.000000 |     2.000000
 imsVo24020230207 |     240 | 20230207 |  2023 | 27615689.000000 | 27615590.000000 |   57.000000 |    42.000000
 imsVo93120230210 |     931 | 20230210 |   160 |   243189.000000 |   243189.000000 |    0.000000 |     0.000000
 imsVo55120230209 |     551 | 20230209 |  2374 | 32041884.000000 | 32041750.000000 |    2.000000 |   132.000000
 imsVo21020230202 |     210 | 20230202 |  9895 | 21101066.000000 | 21100824.000000 |  164.000000 |    78.000000
 imsVo35120230204 |     351 | 20230204 | 11372 | 25078644.000000 | 25078389.000000 |  253.000000 |     2.000000
 imsVo29020230206 |     290 | 20230206 | 15767 | 34289864.000000 | 34286462.000000 |  415.000000 |  2987.000000
 imsVo89120230205 |     891 | 20230205 |  1712 |  2743614.000000 |  2743585.000000 |   29.000000 |     0.000000
 imsVo28020230203 |     280 | 20230203 | 34519 | 76147043.000000 | 76146181.000000 |  792.000000 |    70.000000
 imsVo27020230209 |     270 | 20230209 | 16822 | 36166389.000000 | 36166071.000000 |  300.000000 |    18.000000
 imsVo59120230201 |     591 | 20230201 |  4088 | 34960743.000000 | 34960705.000000 |   10.000000 |    28.000000
 imsVo93120230205 |     931 | 20230205 |  4796 | 16994301.000000 | 16994283.000000 |   18.000000 |     0.000000
 imsVo37120230207 |     371 | 20230207 | 34769 | 74458515.000000 | 74457990.000000 |  512.000000 |    13.000000
 imsVo28020230210 |     280 | 20230210 |   593 |   982679.000000 |   982669.000000 |   10.000000 |     0.000000
 imsVo99120230206 |     991 | 20230206 |  2375 | 32069112.000000 | 32069085.000000 |   22.000000 |     5.000000
 imsVo87120230202 |     871 | 20230202 |  2262 | 29929932.000000 | 29929882.000000 |   28.000000 |    22.000000
